Date;2024-12-03 17:33:16;Config settings;{'BrownianMotion': {'N': 20, 'x0': '10 * np.random.randn(N, 2)', 'mu': '0', 'D': '0.1', 'id': 'Targets'}, 'SimpleIntegrators': {'N': 10, 'x0': '10 * np.random.randn(N, 2)', 'id': 'Herders'}, 'integrator': {'dt': 0.05}, 'simulator': {'dt': 0.05, 'T': 50}, 'environment': {'dimensions': [50, 50]}, 'renderer': {'background_color': 'white', 'agent_colors': ['blue', 'red'], 'render_mode': 'pygame', 'render_dt': 0.05}, 'logger': {'log_freq': 0, 'save_freq': 10, 'comment_enable': False, 'log_path': '/../logs', 'log_name': ''}, 'repulsion': {'ity': 3, 'dis': 2.5}};Comment;
['Step', 0];['Population', 'Targets'];"['State', array([-11.17910005,  -3.61508373,  10.86645267,  -4.10329684,
        -6.38501338,  -0.0733958 ,   8.49046066,  -0.81677236,
       -16.38348927,   8.26069428,  -0.23540282,   1.1682402 ,
        -0.96281996,  19.81209406,  -5.19428887, -14.81783819,
        13.21532093,   6.8607568 , -14.0737817 , -14.60932766,
        -0.37915405,   7.81485927, -11.56120313,   3.185109  ,
       -12.96697879,  13.92921885,  -5.57889797,  -4.79573581,
         4.39386718,  22.45768674, -15.06458743,  -6.59203025,
        -9.35867506,  -4.81623566, -27.72522506,  17.43535753,
       -10.2919536 ,   3.13543551,   0.27834283,   5.50544301])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0.])]";"['External forces', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0.])]";['Population', 'Herders'];"['State', array([  9.07416407, -10.41395833,  -3.98858078,  10.68031796,
        -4.10693297,  -1.51003742,   9.77735236, -18.23480884,
       -12.25255475,   9.09385592,  -1.79719648,   1.70812277,
         8.66016438,  -4.40342732, -10.4012832 ,   3.54134292,
        -6.37049649,   7.29642956,  10.2299163 ,   0.8209554 ])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0.])]";"['External forces', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0.])]";"['Env', array([<Environments.empty_environment.EmptyEnvironment object at 0x0000018027AC5CD0>],
      dtype=object)]"
['Step', 10];['Population', 'Targets'];"['State', array([-11.10674638,  -3.64445924,  12.14781044,  -2.93927303,
        -6.34629895,  -0.12849186,   8.46108781,  -0.78298997,
       -16.40002802,   8.27393084,  -0.03557606,   1.01004829,
        -0.97670414,  19.7952646 ,  -5.12489292, -14.90481532,
        13.10194614,   7.39682421, -14.06153299, -14.70830422,
        -0.21992665,   8.52267813, -11.7484264 ,   3.37948693,
       -12.84186878,  14.46959258,  -5.59247524,  -4.66334985,
         4.3043916 ,  22.46861872, -15.04667271,  -6.58993031,
        -9.28250194,  -4.87327209, -27.58571283,  17.42575413,
       -10.18813588,   2.82769936,   0.92666736,   5.52356116])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0.])]";['External forces', array([0])];['Population', 'Herders'];"['State', array([  6.44639197,  -7.39819744,   2.90841096,  21.12958557,
       -12.48036192, -12.81910013,   7.88715927, -14.70958969,
       -19.22141863,  14.98759345,  -0.62785358,   7.60223629,
        12.02728898,  -4.07126727, -15.04289611,  -4.95562906,
        -9.61530209,   4.30829571,  13.50178975,   6.22474455])]";"['Control input', array([ -5.2555442 ,   6.03152179,   5.87206347,   9.09799892,
        -8.64684069,  -9.74074153,  -3.78038619,   7.0504383 ,
       -33.23693239,  11.07286702,   1.01483689,   6.80733245,
         4.56438891,   2.20861062,  -4.02545104,  -7.24351636,
       -11.9137025 ,  -2.16179961,   2.66575931,   5.62667836])]";['External forces', array([0])];"['Env', array([<Environments.empty_environment.EmptyEnvironment object at 0x0000018027AC5CD0>],
      dtype=object)]"
['Step', 20];['Population', 'Targets'];"['State', array([-11.15204848,  -3.6788461 ,  11.59395501,  -1.47403959,
        -6.40998342,  -0.10041804,   8.48117029,  -0.69302995,
       -16.4324812 ,   8.21976045,  -0.07927531,   0.9981931 ,
        -0.88395879,  19.79086128,  -5.01429441, -14.78392805,
        11.90793239,   8.32723535, -15.21714756, -16.34982238,
         1.59782127,   9.54728481, -11.85186305,   3.20903605,
       -12.87676133,  14.51885801,  -5.59963306,  -4.63514566,
         5.93791457,  22.67051674, -14.11217934,  -7.93659069,
        -9.4223622 ,  -4.80704419, -28.0109372 ,  17.48623124,
       -10.29337003,   2.53709855,   0.9398084 ,   5.46192145])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0.])]";['External forces', array([0])];['Population', 'Herders'];"['State', array([-7.58956893e-03, -4.80803724e+00,  4.95409139e+00,  2.34267598e+01,
       -1.48904816e+01, -1.56969801e+01,  5.99696617e+00, -1.11843705e+01,
       -2.68586301e+01,  1.74887087e+01,  5.56960632e-01,  1.00382393e+01,
        1.29154968e+01, -2.56106507e+00, -1.55810173e+01, -7.42710686e+00,
       -1.32375433e+01,  1.22483917e+01,  1.35325380e+01,  8.29016896e+00])]";"['Control input', array([-2.31708185e+01, -2.16508982e+00,  4.01371616e+00,  1.88689004e+00,
       -3.63727941e+00, -4.72109823e+00, -3.78038619e+00,  7.05043830e+00,
       -7.20862505e+00,  2.34211390e+00,  3.58751926e+00,  2.88510527e+00,
        6.21884573e-03,  2.95171999e+00,  8.90073439e-01, -3.66555698e+00,
       -1.74142993e+00,  1.13023998e+01, -1.43161420e+00,  2.66961679e+00])]";['External forces', array([0])];"['Env', array([<Environments.empty_environment.EmptyEnvironment object at 0x0000018027AC5CD0>],
      dtype=object)]"
['Step', 30];['Population', 'Targets'];"['State', array([-11.00206891,  -3.83046788,  10.7468416 ,  -1.02898516,
        -6.37641145,  -0.184252  ,   8.50342943,  -0.65286046,
       -16.32520687,   8.35917346,  -0.09821581,   1.00115688,
        -0.93715854,  19.77041886,  -4.94135566, -14.74284506,
        10.81318171,   8.04313265, -15.30118836, -18.78951833,
         2.45205547,   8.35245972, -11.71544561,   3.2384479 ,
       -11.82903656,  15.50539365,  -5.65292888,  -4.66339545,
         6.65874635,  21.5128599 , -12.88847433,  -7.9759121 ,
        -9.4832572 ,  -4.83638202, -29.51822079,  16.13755142,
       -10.33249318,   2.56708006,   1.07357172,   5.53270054])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0.])]";['External forces', array([0])];['Population', 'Herders'];"['State', array([ -4.39405794, -12.94724452,   6.49294725,  23.20773884,
       -16.09253697, -18.14112349,   4.10677307,  -7.65915139,
       -29.50988942,  17.51057845,   2.11498119,  10.09147319,
        12.48111726,  -1.53510455, -14.64940987,  -8.42595385,
       -13.24451135,  15.36784428,  12.50018602,   8.81358339])]";"['Control input', array([ -3.37392173, -10.5156286 ,   2.02494739,  -1.5060902 ,
        -0.4922071 ,  -4.93616368,  -3.78038619,   7.0504383 ,
        -3.7719111 ,  -2.06367744,   2.31426371,  -1.40397433,
        -1.36691224,   1.35929013,   2.21381149,  -0.86142328,
         1.59787623,   4.0365085 ,  -2.12123405,  -0.04301837])]";['External forces', array([0])];"['Env', array([<Environments.empty_environment.EmptyEnvironment object at 0x0000018027AC5CD0>],
      dtype=object)]"
['Step', 40];['Population', 'Targets'];"['State', array([-11.06629987,  -3.92276005,   9.85813949,  -0.68988671,
        -6.28611778,  -0.28221179,   8.50212493,  -0.66968502,
       -16.2741446 ,   8.3984626 ,  -0.05141461,   1.03396018,
        -0.8789833 ,  19.72433678,  -5.56407907, -16.89389226,
         9.97531246,   7.61227623, -13.67892728, -19.13495921,
         2.6222213 ,   7.40383003, -11.73667619,   3.30278223,
       -10.70859604,  14.97656284,  -5.74034493,  -4.76468633,
         6.53998403,  20.42178463, -11.949052  ,  -7.71489986,
        -9.45581164,  -4.84649697, -29.01496526,  14.94759942,
       -10.28319623,   2.5638756 ,   0.99392573,   5.36406431])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0.])]";['External forces', array([0])];['Population', 'Herders'];"['State', array([ -5.43939915, -16.22919364,   6.897022  ,  22.2642431 ,
       -15.2648304 , -19.75830191,  -6.1925815 ,  -2.13892075,
       -30.2118339 ,  16.27009896,   2.80606844,   9.23070969,
        11.66912807,  -1.06556756, -13.66914574,  -8.49446868,
       -12.13653396,  16.1138706 ,  11.59472031,   8.62278594])]";"['Control input', array([ -1.64663688,  -5.56833188,   0.1359403 ,  -2.00606495,
         2.65307015,  -1.51722325, -23.69852368,  20.38387169,
         0.13254881,  -2.35009787,   0.87165464,  -1.85081823,
        -1.65668589,   0.79508482,   2.05549661,   0.2693545 ,
         2.21603164,  -0.05445665,  -1.76087914,  -0.63776403])]";['External forces', array([0])];"['Env', array([<Environments.empty_environment.EmptyEnvironment object at 0x0000018027AC5CD0>],
      dtype=object)]"
['Step', 50];['Population', 'Targets'];"['State', array([-11.12301928,  -4.01998042,   8.80876243,  -0.54684878,
        -6.16701056,  -0.18133576,   8.48338392,  -0.62145814,
       -16.3258948 ,   8.33233777,  -0.09035277,   0.95567017,
        -0.7777476 ,  19.60750416,  -5.26778049, -19.38543159,
         9.20026002,   7.02800875, -12.82257669, -18.57002425,
         2.42801696,   6.4794834 , -12.10209996,   3.70439993,
       -10.45235135,  14.97667781,  -5.69956187,  -4.74400008,
         6.207249  ,  19.56581372, -11.17952594,  -7.25791092,
        -9.44404738,  -4.88277032, -28.23348579,  14.29887872,
       -10.11924482,   3.35415683,   0.87664355,   5.31419599])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0.])]";['External forces', array([0])];['Population', 'Herders'];"['State', array([ -5.87562225, -18.92623502,   6.73856178,  21.32978293,
       -14.14724562, -19.81473538, -11.72552612,   2.57624492,
       -29.79108995,  15.35122674,   2.92499416,   8.25220131,
        10.73928275,  -0.74810545, -12.78781543,  -8.22040984,
       -16.17972817,  10.59223959,  10.71273544,   8.15518956])]";"['Control input', array([ 0.28506301, -5.13104821, -0.4206633 , -1.80084567,  1.87345181,
        0.55714755, -5.21854387,  4.7943957 ,  1.26348755, -1.55341982,
       -0.16628269, -1.98269348, -2.04249727,  0.37169468,  1.62023352,
        0.80582595, -4.36849927, -5.90081776, -1.61850181, -1.05574289])]";['External forces', array([0])];"['Env', array([<Environments.empty_environment.EmptyEnvironment object at 0x0000018027AC5CD0>],
      dtype=object)]"
['Step', 60];['Population', 'Targets'];"['State', array([-11.21873111,  -4.02887942,   7.86500432,  -0.46541502,
        -6.14860004,  -0.04981488,   7.83884942,  -0.68984076,
       -16.32061715,   8.2246007 ,  -0.03510951,   0.98371738,
        -0.81623875,  19.62383905,  -3.41393905, -19.33846723,
         8.46609305,   6.45840544, -12.11422275, -17.91596239,
         2.17615824,   5.57648199, -11.5716627 ,   5.17726867,
       -10.50258369,  15.02462025,  -5.59255155,  -4.73977564,
         5.88655162,  18.74268078, -10.29018953,  -6.85534443,
        -9.45569678,  -5.01294827, -27.4467174 ,  13.89493185,
        -9.839687  ,   3.36641852,   0.9845796 ,   5.34220148])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0.])]";['External forces', array([0])];['Population', 'Herders'];"['State', array([ -4.65581618, -20.41090257,   6.46786977,  20.46199698,
       -13.31769886, -19.35721222, -14.55481116,   5.92731728,
       -29.0954769 ,  14.7742725 ,   2.77301639,   7.3334792 ,
         9.7371158 ,  -0.66383195, -11.92490621,  -7.82658531,
       -12.65964403,  14.44302629,   9.95981718,   7.58600857])]";"['Control input', array([  3.10295685,  -0.81641639,  -0.56028441,  -1.67811764,
         1.51878213,   1.14472517, -10.10016037,  10.07877878,
         1.55168278,  -1.02948107,  -0.49755083,  -1.74890174,
        -1.96470256,  -0.45330863,   1.86994218,   0.79907556,
         5.06881304,   5.74468549,  -1.53997573,  -1.09234935])]";['External forces', array([0])];"['Env', array([<Environments.empty_environment.EmptyEnvironment object at 0x0000018027AC5CD0>],
      dtype=object)]"
['Step', 70];['Population', 'Targets'];"['State', array([-11.19668506,  -3.96647291,   7.01264438,  -0.3655328 ,
        -6.081708  ,  -0.02708025,   6.92358651,  -0.84031678,
       -16.7709453 ,   9.66142127,  -0.11698289,   1.10619943,
        -0.79085275,  19.55946674,  -2.76913671, -18.47343047,
         7.59989686,   5.87598118, -11.64489911, -17.09210005,
         1.89467002,   4.66536087, -11.55158263,   5.11408313,
        -9.55537403,  14.91147469,  -5.53427566,  -4.65909441,
         5.78509467,  18.35363172,  -9.50895271,  -6.62446051,
        -9.533952  ,  -4.99813082, -26.58947649,  13.35788295,
        -9.76576751,   3.31964056,   0.59456286,   5.26823195])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0.])]";['External forces', array([0])];['Population', 'Herders'];"['State', array([ -3.48819507, -20.13607002,   0.87285945,  20.74122368,
       -12.71016072, -18.63039403, -17.12929755,   8.73951114,
       -28.26882164,  14.27252838,   1.97302167,   6.64286134,
         8.80476811,  -0.77328896, -12.00004615,  -5.8288787 ,
       -11.05172724,  15.72833307,   9.16093349,   7.05042722])]";"['Control input', array([ 1.63047865,  1.15938835, -5.82701386,  0.30382922,  1.10383002,
        1.50133984, -2.80849107,  4.6344989 ,  1.65249496, -0.97407427,
       -3.95567516, -0.27996486, -1.73914861,  1.24854694, -1.39183688,
        5.10668166,  2.46066193,  0.92754053, -1.61164129, -1.17024243])]";['External forces', array([0])];"['Env', array([<Environments.empty_environment.EmptyEnvironment object at 0x0000018027AC5CD0>],
      dtype=object)]"
['Step', 80];['Population', 'Targets'];"['State', array([-10.95222895,  -3.45528331,   6.09713051,  -0.21864126,
        -6.23621495,  -0.11578724,   5.99886446,  -1.03292962,
       -15.42529363,  10.5863299 ,  -0.06817799,   1.21510974,
        -1.22506104,  19.18187281,  -2.54087695, -17.51382349,
         6.97399296,   5.41522046, -11.03159506, -16.41108201,
         2.06539311,   4.08681694, -11.62730763,   5.1967687 ,
        -8.85790617,  14.22864189,  -5.56785521,  -4.66517865,
         5.84873268,  18.40074397,  -9.36150926,  -6.62311623,
        -9.44497891,  -4.94630259, -25.73785623,  12.96729531,
        -9.7181109 ,   3.36403384,   0.17413205,   4.55654115])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0.])]";['External forces', array([0])];['Population', 'Herders'];"['State', array([ -2.95021795, -19.35661403,   3.87625556,  20.04140475,
       -12.1675388 , -17.87753455, -17.0775481 ,  10.63629891,
       -27.43077391,  13.79908153,   1.79051989,   5.92775027,
         7.92863414,  -0.48430967, -11.19810773,  -6.44722943,
       -10.02578057,  15.61218885,   8.39543127,   6.50046756])]";"['Control input', array([ 0.8544236 ,  1.71949715,  8.34645574, -1.51465247,  1.20238398,
        1.45655277,  1.68928957,  2.34639379,  1.72482061, -0.87343829,
        2.70434533, -2.21636299, -1.82317267,  0.72285623,  2.41445936,
       -3.13647625,  1.70908914, -0.74705327, -1.36275257, -0.99929202])]";['External forces', array([0])];"['Env', array([<Environments.empty_environment.EmptyEnvironment object at 0x0000018027AC5CD0>],
      dtype=object)]"
['Step', 90];['Population', 'Targets'];"['State', array([-10.83762309,  -3.09302728,   5.30893303,   0.10991305,
        -6.24559905,  -0.22884187,   5.13761382,  -1.24494934,
       -14.34268997,  10.12636161,  -0.03509307,   1.17395392,
        -1.13393382,  19.25982573,  -2.41518038, -16.53577566,
         6.21687933,   4.82124556, -10.43336191, -15.63883793,
         2.114915  ,   3.53964746, -11.7095778 ,   5.16935901,
        -8.23698855,  13.39607647,  -5.6308944 ,  -4.53828428,
         5.97157682,  18.09538705,  -9.08063962,  -6.85804029,
        -9.11988794,  -4.78096405, -24.97520197,  12.56901553,
        -9.7382312 ,   3.43167282,  -0.35656009,   4.00548792])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0.])]";['External forces', array([0])];['Population', 'Herders'];"['State', array([ -2.74142656, -18.42669745,   1.12654246,  20.20033154,
       -11.55255888, -17.16908901, -16.04257407,  10.97881136,
       -26.60471109,  13.4455761 ,   1.27322744,   5.37220999,
         7.03255348,  -0.70241507, -10.89009294,  -6.38417286,
        -9.33564093,  14.94743614,   7.6707615 ,   5.98839174])]";"['Control input', array([ 0.374443  ,  1.81238725, -8.2342877 ,  0.85955484,  1.21829134,
        1.44148259,  2.15710713, -0.22457525,  1.57055884, -0.93028272,
        5.15382086, -2.50913349, -1.32613463,  2.77338972,  2.60266881,
       -4.19800968,  1.30394816, -1.5140467 , -1.33548061, -1.19936795])]";['External forces', array([0])];"['Env', array([<Environments.empty_environment.EmptyEnvironment object at 0x0000018027AC5CD0>],
      dtype=object)]"
['Step', 100];['Population', 'Targets'];"['State', array([-1.06943071e+01, -2.79830666e+00,  4.60411243e+00,  5.36254503e-01,
       -6.21973267e+00, -1.97203517e-01,  4.46066207e+00, -1.35287193e+00,
       -1.35787086e+01,  9.66368003e+00,  5.01902173e-03,  1.21842919e+00,
       -1.59114976e+00,  1.89025305e+01, -2.20887268e+00, -1.56640331e+01,
        5.52102359e+00,  4.25463524e+00, -9.80681825e+00, -1.49023932e+01,
        2.22230421e+00,  2.88169264e+00, -1.16300460e+01,  5.10896768e+00,
       -7.77946198e+00,  1.26520075e+01, -5.67815161e+00, -4.55268351e+00,
        5.95455836e+00,  1.81986963e+01, -8.63799845e+00, -6.91270224e+00,
       -9.01712254e+00, -4.72768807e+00, -2.41272215e+01,  1.21966057e+01,
       -9.76095445e+00,  3.45273110e+00, -6.43687679e-01,  3.78413450e+00])]";"['Control input', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
       0., 0., 0., 0., 0., 0.])]";['External forces', array([0])];['Population', 'Herders'];"['State', array([ -2.55793654, -17.48223431,   2.80482947,  19.85548334,
       -10.90597291, -16.41584217, -15.16574876,  10.64749885,
       -25.77481952,  13.037939  ,   0.60051978,   4.97718272,
         6.28707711,  -0.17366359, -11.65866281,  -4.28143633,
        -8.78159197,  14.19752093,   7.0098014 ,   5.35365195])]";"['Control input', array([ 0.4041838 ,  1.80667806, 12.48299172, -1.73140075,  1.21572568,
        1.4736681 ,  1.69103662, -0.75961695,  1.71845738, -0.71890343,
       -4.71880462,  0.34779552, -1.20122421,  2.85396901, -1.13019353,
        3.66750554,  1.1684801 , -1.46707363, -1.42337636, -0.97841232])]";['External forces', array([0])];"['Env', array([<Environments.empty_environment.EmptyEnvironment object at 0x0000018027AC5CD0>],
      dtype=object)]"
